Company_2021,Similarity
ABPA HOLDINGS LIMITED_07847153.txt,0.87419392034273
ACCORD MORTGAGES LIMITED_02139881.txt,0.743805255714204
ADVISORY INSURANCE BROKERS LIMITED_04043759.txt,0.745221252655031
AGEAS INSURANCE LIMITED_00354568.txt,0.812976692870051
AGGREGATE INDUSTRIES UK LIMITED_00245717.txt,0.839171677970967
AIRTANKER HOLDINGS LIMITED_06279650.txt,0.834882379186945
AIRTANKER LIMITED_06279734.txt,0.847065109528367
ALDI STORES LIMITED_02321869.txt,0.841162363572372
ALLIANZ INSURANCE PLC_00084638.txt,0.693928273070904
ALLSTATE NORTHERN IRELAND LIMITED_NI034636.txt,0.813593176007204
AMERICAN EXPRESS SERVICES EUROPE LIMITED_01833139.txt,0.728145890097677
AMEY UK LIMITED_04736639.txt,0.562574547732905
AON UK LIMITED_00210725.txt,0.795324560939103
ARCUS SOLUTIONS (HOLDINGS) LIMITED_07417126.txt,0.8316211842896
ARLA FOODS LIMITED_02143253.txt,0.775015105048631
ARVAL UK LIMITED_01073098.txt,0.754096266853988
ASDA STORES LIMITED_00464777.txt,0.825175144462728
ATALIAN SERVEST LIMITED_06355228.txt,0.796882088018093
ATKINS LIMITED_00688424.txt,0.834896995642995
AUSURUS GROUP LTD_09123549.txt,0.581892075910168
AVIVA EMPLOYMENT SERVICES LIMITED_03280551.txt,0.820556495834402
AVIVA GROUP HOLDINGS LIMITED_01555746.txt,0.779274879878591
AVIVA INSURANCE LIMITED_SC002116.txt,0.819398835564603
AVIVA INTERNATIONAL INSURANCE LIMITED_00021487.txt,0.822028878642215
AVIVA LIFE HOLDINGS UK LIMITED_02403518.txt,0.751401231744369
AXA INSURANCE UK PLC_00078950.txt,0.769902796656494
AXA PPP HEALTHCARE GROUP LIMITED_03148346.txt,0.722160512469634
AXA SERVICES LIMITED_00446043.txt,0.794729743473372
BANK OF IRELAND (UK) PLC_07022885.txt,0.689710209775799
BANK OF SCOTLAND PLC_SC327000.txt,0.739774854398333
BANNATYNE FITNESS LIMITED_03287770.txt,0.626727714615806
BELRON UK LIMITED_00494648.txt,0.805367080812511
BLACK HORSE LIMITED_00661204.txt,0.831217460097586
BRITISH AIRWAYS PLC_01777777.txt,0.836930106715489
BRITISH CAR AUCTIONS LIMITED_00438886.txt,0.798464708434033
BRITISH GAS SERVICES LIMITED_03141243.txt,0.696519595098177
BUSY BEES NURSERIES LIMITED_03454787.txt,0.820338038729614
BUZZ GROUP LIMITED_00794943.txt,0.830118918146478
CADENT GAS LIMITED_10080864.txt,0.797101019899104
CANADA LIFE LIMITED_00973271.txt,0.862667071234096
CAPITAL ARCHES GROUP LIMITED_10139149.txt,0.671433643547965
CAPITAL ONE EUROPE PLC_03879023.txt,0.683713697022833
CATERPILLAR (U.K.) LIMITED_00484783.txt,0.841772511013902
CBRE MANAGED SERVICES LIMITED_01799580.txt,0.78803544403484
CD&R FIREFLY 4 LIMITED_09547863.txt,0.538501250910224
CD&R FIREFLY HOLDCO LIMITED_09548683.txt,0.537170751494163
CDS (SUPERSTORES INTERNATIONAL) LIMITED_02699203.txt,0.850893289984267
CITIGROUP GLOBAL MARKETS LIMITED_01763297.txt,0.874693368473525
COLT GROUP HOLDINGS LIMITED_11530966.txt,0.819855283947676
CORPS OF COMMISSIONAIRES MANAGEMENT LIMITED_01107779.txt,0.821865868676877
COSTA LIMITED_01270695.txt,0.662987834330684
COUTTS & COMPANY_00036695.txt,0.784156636381682
CRANSWICK COUNTRY FOODS PLC_01803402.txt,0.835943757004161
CUMMINS LTD._00573951.txt,0.817053556034533
DAVID LLOYD LEISURE LIMITED_01516226.txt,0.837151932689778
DEUCE HOLDCO LIMITED_08655849.txt,0.832462760583717
DEUCE MIDCO LIMITED_11385914.txt,0.831828722495171
DEUCE TOPCO LIMITED_11666264.txt,0.828984286496307
DHL SERVICES LIMITED_03324664.txt,0.839507824654461
DILIGENTA LIMITED_05535029.txt,0.825652102723362
DOBBIES GARDEN CENTRES GROUP LIMITED_10231465.txt,0.799036093105604
DOBBIES GARDEN CENTRES LIMITED_SC010975.txt,0.792166372228677
DPDGROUP UK LTD_00732993.txt,0.803846589629408
DRAX POWER LIMITED_04883589.txt,0.832849290246936
DYSON TECHNOLOGY LIMITED_01959090.txt,0.825506798728192
E.H.BOOTH & CO.,LIMITED_00049933.txt,0.806926148708133
EAGLE MIDCO LIMITED_08738840.txt,0.772020067629031
EAGLE SUPERCO LIMITED_08738795.txt,0.77335181458477
EASTERN POWER NETWORKS PLC_02366906.txt,0.787992178564756
EDMUNDSON ELECTRICAL LIMITED_02667012.txt,0.827158112343439
EG GROUP LIMITED_09826582.txt,0.632660779552373
ELEMENT MATERIALS TECHNOLOGY GROUP LIMITED_09915743.txt,0.806088094818737
ELEMENT MATERIALS TECHNOLOGY LIMITED_09915810.txt,0.839053542652604
ELYSIUM HEALTHCARE HOLDINGS 1 LIMITED_10481896.txt,0.834070915105727
ELYSIUM HEALTHCARE HOLDINGS 2 LIMITED_10419351.txt,0.838883427417076
EQUINOR UK LIMITED_01285743.txt,0.82248243369679
ESSO EXPLORATION AND PRODUCTION UK LIMITED_00207426.txt,0.825979129185507
ESSO PETROLEUM COMPANY,LIMITED_00026538.txt,0.840763388319454
ETHOS ENERGY GROUP LIMITED_SC454431.txt,0.847198261541839
