Company_2021,Similarity_Lev
ABPA HOLDINGS LIMITED_07847153.txt,0.92649667405765
ACCORD MORTGAGES LIMITED_02139881.txt,0.473771397018222
ADVISORY INSURANCE BROKERS LIMITED_04043759.txt,0.276108726752504
AGEAS INSURANCE LIMITED_00354568.txt,0.864795918367347
AGGREGATE INDUSTRIES UK LIMITED_00245717.txt,0.96382040489076
AIRTANKER HOLDINGS LIMITED_06279650.txt,0.920776818742293
AIRTANKER LIMITED_06279734.txt,0.970926711084191
ALDI STORES LIMITED_02321869.txt,0.960608327100474
ALLIANZ INSURANCE PLC_00084638.txt,0.344031916040686
ALLSTATE NORTHERN IRELAND LIMITED_NI034636.txt,0.808809904826076
AMERICAN EXPRESS SERVICES EUROPE LIMITED_01833139.txt,0.530174032803305
AMEY UK LIMITED_04736639.txt,0.122634823896251
AON UK LIMITED_00210725.txt,0.681428525215929
ARCUS SOLUTIONS (HOLDINGS) LIMITED_07417126.txt,0.932842415316642
ARLA FOODS LIMITED_02143253.txt,0.584987593052109
ARVAL UK LIMITED_01073098.txt,0.437669503413448
ASDA STORES LIMITED_00464777.txt,0.542645182630062
ATALIAN SERVEST LIMITED_06355228.txt,0.762258182260616
ATKINS LIMITED_00688424.txt,0.737205488909985
AUSURUS GROUP LTD_09123549.txt,0.169244236941932
AVIVA EMPLOYMENT SERVICES LIMITED_03280551.txt,0.87116368286445
AVIVA GROUP HOLDINGS LIMITED_01555746.txt,0.551808066759388
AVIVA INSURANCE LIMITED_SC002116.txt,0.803008448382444
AVIVA INTERNATIONAL INSURANCE LIMITED_00021487.txt,0.62671568627451
AVIVA LIFE HOLDINGS UK LIMITED_02403518.txt,0.606077841878606
AXA INSURANCE UK PLC_00078950.txt,0.462107377647918
AXA PPP HEALTHCARE GROUP LIMITED_03148346.txt,0.499614098276306
AXA SERVICES LIMITED_00446043.txt,0.550609398422733
BANK OF IRELAND (UK) PLC_07022885.txt,0.304373632080721
BANK OF SCOTLAND PLC_SC327000.txt,0.61948807910055
BANNATYNE FITNESS LIMITED_03287770.txt,0.222704714640198
BELRON UK LIMITED_00494648.txt,0.64876137512639
BLACK HORSE LIMITED_00661204.txt,0.814658803706824
BRITISH AIRWAYS PLC_01777777.txt,0.767928918976095
BRITISH CAR AUCTIONS LIMITED_00438886.txt,0.822222222222222
BRITISH GAS SERVICES LIMITED_03141243.txt,0.3003663003663
BUSY BEES NURSERIES LIMITED_03454787.txt,0.560800974479337
BUZZ GROUP LIMITED_00794943.txt,0.871895903967745
CADENT GAS LIMITED_10080864.txt,0.398863590892721
CANADA LIFE LIMITED_00973271.txt,0.977082306554953
CAPITAL ARCHES GROUP LIMITED_10139149.txt,0.40498254096159
CAPITAL ONE EUROPE PLC_03879023.txt,0.335956038466342
CATERPILLAR (U.K.) LIMITED_00484783.txt,0.981045699140631
CBRE MANAGED SERVICES LIMITED_01799580.txt,0.723599545798637
CD&R FIREFLY 4 LIMITED_09547863.txt,0.0728812865736383
CD&R FIREFLY HOLDCO LIMITED_09548683.txt,0.0700229902973152
CDS (SUPERSTORES INTERNATIONAL) LIMITED_02699203.txt,0.960702727693019
CITIGROUP GLOBAL MARKETS LIMITED_01763297.txt,0.696472986748216
COLT GROUP HOLDINGS LIMITED_11530966.txt,0.715289256198347
CORPS OF COMMISSIONAIRES MANAGEMENT LIMITED_01107779.txt,0.800462962962963
COSTA LIMITED_01270695.txt,0.35005943284089
COUTTS & COMPANY_00036695.txt,0.48106091329386
CRANSWICK COUNTRY FOODS PLC_01803402.txt,0.84
CUMMINS LTD._00573951.txt,0.78979717271051
DAVID LLOYD LEISURE LIMITED_01516226.txt,0.71418826739427
DEUCE HOLDCO LIMITED_08655849.txt,0.684225117826449
DEUCE MIDCO LIMITED_11385914.txt,0.716254617789145
DEUCE TOPCO LIMITED_11666264.txt,0.713688318929468
DHL SERVICES LIMITED_03324664.txt,0.94859287054409
DILIGENTA LIMITED_05535029.txt,0.859080888587417
DOBBIES GARDEN CENTRES GROUP LIMITED_10231465.txt,0.752471622116441
DOBBIES GARDEN CENTRES LIMITED_SC010975.txt,0.73236984154623
DPDGROUP UK LTD_00732993.txt,0.850994077834179
DRAX POWER LIMITED_04883589.txt,0.43621236133122
DYSON TECHNOLOGY LIMITED_01959090.txt,0.660859777015437
E.H.BOOTH & CO.,LIMITED_00049933.txt,0.805635422656699
EAGLE MIDCO LIMITED_08738840.txt,0.541612645856188
EAGLE SUPERCO LIMITED_08738795.txt,0.5358194798063
EASTERN POWER NETWORKS PLC_02366906.txt,0.739007046969166
EDMUNDSON ELECTRICAL LIMITED_02667012.txt,0.849154896966891
EG GROUP LIMITED_09826582.txt,0.224396243291592
ELEMENT MATERIALS TECHNOLOGY GROUP LIMITED_09915743.txt,0.692611539208703
ELEMENT MATERIALS TECHNOLOGY LIMITED_09915810.txt,0.732219365895458
ELYSIUM HEALTHCARE HOLDINGS 1 LIMITED_10481896.txt,0.927950945324476
ELYSIUM HEALTHCARE HOLDINGS 2 LIMITED_10419351.txt,0.941237380274398
EQUINOR UK LIMITED_01285743.txt,0.5935312903445
ESSO EXPLORATION AND PRODUCTION UK LIMITED_00207426.txt,0.876092959042798
ESSO PETROLEUM COMPANY,LIMITED_00026538.txt,0.963819211651832
ETHOS ENERGY GROUP LIMITED_SC454431.txt,0.943221559349928
EUROPEAN METAL RECYCLING LIMITED_02954623.txt,0.246368715083799
EVERSHOLT RAIL LEASING LIMITED_02720809.txt,0.691753010361243
FARMFOODS LIMITED_SC030186.txt,0.842408712363869
FCE BANK PLC_00772784.txt,0.147044056734028
FGP TOPCO LIMITED_05723961.txt,0.235923272865446
FORD MOTOR COMPANY LIMITED_00235446.txt,0.699577496108517
GALAXY GROUP BIDCO LIMITED_11112428.txt,0.930052615289384
GALAXY GROUP MIDCO LIMITED_11112295.txt,0.922910216718266
GREAT BEAR DISTRIBUTION LIMITED_02899719.txt,0.846276905177429
HANDELSBANKEN PLC_11305395.txt,0.289148979384584
HANSON QUARRY PRODUCTS EUROPE LIMITED_00300002.txt,0.785692883895131
HARRODS LIMITED_00030209.txt,0.714405418616018
HASTINGS INSURANCE SERVICES LIMITED_03116518.txt,0.121993236776622
HBOS PLC_SC218813.txt,0.688477951635846
HCA INTERNATIONAL LIMITED_03020522.txt,0.880709989731553
HCC INTERNATIONAL INSURANCE COMPANY PLC_01575839.txt,0.785892542571932
HEATHROW AIRPORT HOLDINGS LIMITED_05757208.txt,0.240217040786282
HEATHROW AIRPORT LIMITED_01991017.txt,0.202025705504331
HEATHROW FINANCE PLC_06458635.txt,0.205385097056982
HEATHROW (SP) LIMITED_06458621.txt,0.23260058067192
HEINEKEN UK LIMITED_SC065527.txt,0.385937026945201
